Страна;ln(gdp);unempl^(1/3);life_exp;prosp;corr;comp
Австрия;13,07544465;1,754410643;81,6;Выше среднего;Ниже среднего;Высокий
Азербайджан;10,90819531;1,698499252;69,4;Средний;Выше среднего;Средний
Албания;9,812470345;2,257178718;76,5;Средний;Средний;Средний
Алжир;12,0316189;2,386966384;76,4;Средний;Выше среднего;Средний
Ангола;11,19198977;2,125317138;61,6;Ниже среднего;Выше среднего;Низкий
Аргентина;13,10520237;2,257178718;75,4;Выше среднего;Средний;Средний
Армения;9,536847406;2,635220922;72;Выше среднего;Средний;Средний
Бангладеш;12,93907721;1,638642541;72,4;Средний;Выше среднего;Низкий
Бельгия;13,3044833;1,775808003;81,9;Выше среднего;Ниже среднего;Высокий
Бенин;9,786146669;1,144714243;59,8;Средний;Средний;Низкий
Болгария;11,29316518;1,721300621;71,8;Выше среднего;Средний;Средний
Боливия;10,60678826;1,991631701;63,6;Средний;Выше среднего;Низкий
Босния и Герцеговина;10,02444377;2,514581454;75,3;Средний;Средний;Низкий
Буркина Фасо;9,890281738;1,675068684;59,3;Средний;Средний;Низкий
Бурунди;7,973165771;1,169607095;61,7;Ниже среднего;Выше среднего;Низкий
Венгрия;12,1133021;1,626133332;74,5;Выше среднего;Средний;Средний
Венесуэла;13,08644459;1,957433821;70,6;Средний;Высокий;Низкий
Вьетнам;12,80115905;1,3388659;73,6;Средний;Средний;Средний
Гамбия;7,639194857;2,168702885;62,1;Средний;Средний;Низкий
Гана;11,25924899;1,613428646;63,8;Средний;Средний;Низкий
Гватемала;11,36194349;1,300591447;69,2;Средний;Выше среднего;Низкий
Гвинея;9,670957586;1,709975947;58,9;Средний;Выше среднего;Низкий
Гондурас;10,25726174;2,223980091;70,1;Средний;Выше среднего;Низкий
Гонконг;12,81621654;1,796701779;85,5;Выше среднего;Низкий;Высокий
Греция;12,28414691;2,535493694;80,1;Выше среднего;Средний;Средний
Грузия;9,836291637;2,644786236;71,7;Выше среднего;Ниже среднего;Средний
Дания;12,89195435;1,775808003;81,4;Высокий;Низкий;Высокий
Доминикана;11,45363661;1,827160137;72,6;Средний;Выше среднего;Средний
Египет;12,90952349;1,991631701;70,2;Средний;Выше среднего;Низкий
Замбия;9,96190079;2,320794417;61,2;Средний;Выше среднего;Низкий
Зимбабве;10,17419118;2,566229944;59,3;Средний;Выше среднего;Низкий
Израиль;13,08485105;1,626133332;82,3;Выше среднего;Ниже среднего;Высокий
